,dir,dep,lineage
ACH-000348,0.854852013692241,-0.3388649848004557,Skin
ACH-000238,0.8446139060488291,-0.3434630349800574,Head and Neck
ACH-000237,0.835975591000484,-0.18333309376145526,Ovary/Fallopian Tube
ACH-000393,0.8658336780666145,-0.24070864982604243,Liver
ACH-000623,0.8394909288589777,-0.288448576258637,CNS/Brain
ACH-000359,0.8681064067660209,-0.22659715625732382,Bone
ACH-001028,0.9007902605053675,-0.6694952733088301,CNS/Brain
ACH-000621,0.8603563422658486,-0.22666512219288568,Breast
ACH-001641,0.8702294197369898,-0.4796620094882543,Head and Neck
ACH-000483,0.860771905419835,-0.37217978340923585,Liver
ACH-000514,0.8472036428944035,-0.4495085956585829,Lung
ACH-000936,0.8474274318134308,-0.4845398812867868,Ovary/Fallopian Tube
ACH-000716,0.8725071703476228,-0.5421926227012076,Thyroid
ACH-000988,0.8742927736580668,-0.3183669498639382,Uterus
ACH-000609,0.8449613595318072,-0.3265021482903466,CNS/Brain
ACH-001411,0.8466920356882122,-0.34190315064149723,Bladder/Urinary Tract
ACH-000504,0.8300243123277249,-0.2472853725748877,CNS/Brain
ACH-000956,0.8826828179701562,-0.47519491711701317,Prostate
ACH-000652,0.868857810233274,-0.3219909904609979,Pancreas
ACH-000414,0.8847286190560185,-0.4648620945011947,Lung
ACH-000472,0.849172545964612,-0.2659561556210372,Head and Neck
ACH-000007,0.873863400248208,-0.46630431621920426,Bowel
ACH-001850,0.8614862722917933,-0.43389802584959675,Biliary Tract
ACH-000028,0.8558008410445826,-0.5887521431781382,Breast
ACH-000665,0.8363305773503013,-0.2827689864765877,Lung
ACH-000078,0.8316988058522844,-0.457832036878514,Peripheral Nervous System
ACH-002046,0.8501464828730855,-0.28726518009710755,Uterus
ACH-000397,0.8580026352479162,-0.33510321659430753,Uterus
ACH-002925,0.8814028583463223,-0.41487593899952613,Eye
ACH-000518,0.8498423433744358,-0.4843140170600092,Head and Neck
ACH-001566,0.8863371999957315,-0.3677884368227982,Skin
ACH-000252,0.8668700749959669,-0.3617408153909379,Bowel
ACH-001605,0.8559113230915639,-0.42322908887513905,CNS/Brain
ACH-002522,0.8085898536050103,-0.49413347766044086,Lung
ACH-000277,0.8537220836662965,-0.4797473094527293,Breast
ACH-001239,0.8546194364285672,-0.5549839189998695,Skin
ACH-001970,0.881277938304565,-0.4078552300361622,Skin
ACH-000537,0.8494804518966819,-0.4796505430114706,Liver
ACH-002660,0.8731264347757307,-0.41156725002838473,Bowel
ACH-000724,0.8290582221555426,-0.31918900832131536,Bladder/Urinary Tract
ACH-000522,0.872981427089068,-0.5158556274084349,Bladder/Urinary Tract
ACH-001549,0.8637172563541301,-0.410342604396124,Lung
ACH-000706,0.8583353368666662,-0.5732385771901256,Lung
ACH-000548,0.8077810120281049,-0.2689255851543691,Head and Neck
ACH-001839,0.8794066486338203,-0.4753337390727886,Biliary Tract
ACH-001799,0.8450222502054273,-0.20713150108406853,Soft Tissue
ACH-000425,0.8874115751287336,-0.34980169583162024,Skin
ACH-000375,0.8695671551940057,-0.519230173071022,Kidney
ACH-000753,0.852087137692645,-0.5388973189128682,Bladder/Urinary Tract
ACH-000735,0.8528049571285716,-0.3708998045139179,Head and Neck
ACH-000654,0.8970592943335892,-0.44932601927466603,Lymphoid
ACH-001067,0.8860569145754069,-0.5076776636094957,CNS/Brain
ACH-001394,0.8615546958322531,-0.23806156668792844,Breast
ACH-000404,0.8880003942200312,-0.43681973677143227,Skin
ACH-000882,0.8866538942724475,-0.5244979070411734,Skin
ACH-001509,0.8511376826014002,-0.307410102240542,Head and Neck
ACH-000210,0.8651610558317259,-0.47144856862654516,Bone
ACH-000604,0.8892000032642423,-0.45638143499912454,Myeloid
ACH-000090,0.8697416666091242,-0.3551261445750228,Prostate
ACH-000195,0.8499324239070597,-0.42529074717444476,Myeloid
ACH-001791,0.8729710693971634,-0.2894038254826285,Soft Tissue
ACH-001650,0.8684748895022596,-0.37703923739111217,Cervix
ACH-000605,0.8690913291053025,-0.4460958321156531,Esophagus/Stomach
ACH-000458,0.8454111344560236,-0.3823569555799589,Skin
ACH-002084,0.868282801397849,-0.3224570259025893,Skin
ACH-000004,0.8712532618882765,-0.4169091729709002,Myeloid
ACH-000251,0.8682711882281379,-0.3899738073097768,Lung
ACH-001194,0.8476659725966859,-0.25117836145272526,Kidney
ACH-002055,0.8707058735645967,-0.5302021645500214,Lymphoid
ACH-001443,0.8606416495973996,-0.2991475663385614,Thyroid
ACH-000688,0.8604420286261495,-0.23249857260476406,Ovary/Fallopian Tube
ACH-000405,0.8692451251366117,-0.511295501083426,Lymphoid
ACH-000821,0.8654466770327284,-0.3899932501511698,Lymphoid
ACH-001677,0.8682385458051662,-0.4198087194757125,Lymphoid
ACH-002526,0.8732783475903303,-0.36541177443895895,Lung
ACH-001627,0.8564455288982743,-0.6755444260271738,Prostate
ACH-001036,0.8754826527492766,-0.47205413560846604,Myeloid
ACH-000547,0.835452684494033,-0.44136927565932155,Bladder/Urinary Tract
ACH-000826,0.8529248552591023,-0.36860680052458233,Lung
ACH-001986,0.878021228874232,-0.597801151580271,Skin
ACH-000018,0.855307438266587,-0.30658964148322787,Bladder/Urinary Tract
ACH-000721,0.8876554516926667,-0.5066419487786944,Breast
ACH-000092,0.8516169612540716,-0.307982833208308,Pleura
ACH-001099,0.879476327652087,-0.5904890245066887,Soft Tissue
ACH-000648,0.8744936501071237,-0.39132004328358344,Pleura
ACH-000950,0.8855170591185666,-0.49123528882741563,Bowel
ACH-002051,0.865788166996125,-0.27322042366047966,Lung
ACH-000367,0.8591234630597626,-0.22568858880895776,Pleura
ACH-000589,0.8699651416586994,-0.5730325237818135,Lung
ACH-001522,0.8730197191621695,-0.3239347672863575,Skin
ACH-000831,0.8807904990461506,-0.7033402852934306,Uterus
ACH-000424,0.8891940397446609,-0.5476685421629389,Bone
ACH-000616,0.8449258922837707,-0.30358740580043614,Esophagus/Stomach
ACH-000512,0.8609712125216331,-0.4961124630074917,Lymphoid
ACH-000232,0.8554731613370589,-0.5722724017269031,CNS/Brain
ACH-000820,0.8742193282063805,-0.4034431019006793,Bowel
ACH-001295,0.8771734674853217,-0.40707085086492184,Eye
ACH-001164,0.8707965818361236,-0.4505643752472135,Soft Tissue
ACH-002524,0.8509292732855038,-0.4350505853765832,Ovary/Fallopian Tube
ACH-000645,0.8520406850138009,-0.34022851342472193,Pleura
ACH-000099,0.8669036590272934,-0.5660568872236635,Peripheral Nervous System
ACH-000649,0.8532716810031771,-0.33239013636054426,Kidney
ACH-000086,0.8795133642473817,-0.4735893032808399,Pleura
ACH-000149,0.8550252696295524,-0.3946406056704213,Peripheral Nervous System
ACH-000142,0.828705119022435,-0.34411520257279415,Bladder/Urinary Tract
ACH-002535,0.8680872607294703,-0.5806746031688582,Bowel
ACH-000227,0.8503825127007274,-0.3610959408686824,Peripheral Nervous System
ACH-000697,0.8718260736375397,-0.5741937138433513,Lymphoid
ACH-000264,0.8734148808017983,-0.31986595244730226,Lung
ACH-000809,0.8511292081262057,-0.48014299056430754,Esophagus/Stomach
ACH-000093,0.8426368423728781,-0.32190312004005806,Pancreas
ACH-000100,0.8529273662147154,-0.507250073237662,Soft Tissue
ACH-000060,0.8659416491579823,-0.3467452699368557,Pancreas
ACH-000001,0.8648719820667551,-0.495261085205866,Ovary/Fallopian Tube
ACH-000957,0.8806658928738453,-0.5939836235209127,Bowel
ACH-001096,0.8802217675997588,-0.5136654170183542,Soft Tissue
ACH-002799,0.8707328663374385,-0.3228062615692773,Peripheral Nervous System
ACH-000239,0.8604822039159609,-0.40091342391018014,Esophagus/Stomach
ACH-000762,0.8505541992907805,-0.288396307148986,Head and Neck
ACH-000922,0.8709218157473326,-0.6103648272940099,Lymphoid
ACH-000859,0.846765167270447,-0.2889123819020193,Breast
ACH-000410,0.8270846110435596,-0.40174201171826907,Bone
ACH-001853,0.8476728777246223,-0.510555999963021,Liver
ACH-000694,0.8530488336925045,-0.48558943513525743,Esophagus/Stomach
ACH-000935,0.8635057083437174,-0.49869930506151927,Bowel
ACH-001563,0.8577468316448205,-0.26396047874352874,Skin
ACH-000974,0.8666268261709373,-0.5129008443102444,Uterus
ACH-001719,0.8656911813355648,-0.3006818025437051,Ovary/Fallopian Tube
ACH-000243,0.8613108192683202,-0.37962084188357326,Pancreas
ACH-001418,0.863130634348994,-0.44808269225411423,Ovary/Fallopian Tube
ACH-000362,0.8880810586691056,-0.5337197585129606,Myeloid
ACH-000843,0.8752544696579261,-0.5438100838762291,Lung
ACH-000840,0.8540067632589442,-0.34485033735539417,Lung
ACH-001852,0.8686945981184153,-0.5597252822260473,Biliary Tract
ACH-001528,0.8574765900469487,-0.5537401602497191,Thyroid
ACH-001656,0.8781000101065966,-0.5389021983730689,Myeloid
ACH-001460,0.8926092532480778,-0.48995362726737224,Bowel
ACH-000592,0.8448103883255631,-0.2500531184901633,CNS/Brain
ACH-001192,0.8675693761342457,-0.3770995856377961,Bone
ACH-000045,0.885801110972311,-0.6182142108713075,Myeloid
ACH-000741,0.8560974476763931,-0.39298342645570694,Bladder/Urinary Tract
ACH-000912,0.8548312983084321,-0.44424538013555537,Lung
ACH-000577,0.8357985686297525,-0.26540768645558865,Liver
ACH-000768,0.8557352423291873,-0.38104868023349137,Breast
ACH-000667,0.8684428748181912,-0.42709981923414647,Lung
ACH-000905,0.8512905370243542,-0.42703682225793005,Bladder/Urinary Tract
ACH-001494,0.839398023501289,-0.27458958989302495,Biliary Tract
ACH-000387,0.882294247589012,-0.38832214871852905,Myeloid
ACH-002510,0.8776631038298979,-0.48326557503201306,Skin
ACH-001303,0.8837025798185708,-0.3837300405266568,Peripheral Nervous System
ACH-000026,0.8834530536045083,-0.38988913011921983,Bladder/Urinary Tract
ACH-000838,0.8921331132899231,-0.4445075625533112,Lymphoid
ACH-001172,0.8684777143273245,-0.674179909510898,CNS/Brain
ACH-000822,0.8430558580908326,-0.30894679023158506,Skin
ACH-000527,0.8319031348653091,-0.48552893111400236,Ovary/Fallopian Tube
ACH-000279,0.8762123992243658,-0.49299318708186474,Bone
ACH-000516,0.8397526959816549,-0.2328233288914832,Bone
ACH-001662,0.845783383625682,-0.36667022385638876,Breast
ACH-001300,0.8770080582843015,-0.5338576694900152,Peripheral Nervous System
ACH-000524,0.8385019262168246,-0.35072329013939363,Ovary/Fallopian Tube
ACH-000411,0.8771844529161298,-0.38308103375073255,Kidney
ACH-000718,0.8481232803877418,-0.34790489479272746,Lung
ACH-000903,0.8741565543160502,-0.5204578656391353,Thyroid
ACH-002021,0.8690574312045241,-0.44350675908768766,Uterus
ACH-000433,0.8746835411253729,-0.35030306281926943,Kidney
ACH-000499,0.8892430033791183,-0.4706297690120466,Bone
ACH-000278,0.8502083151550608,-0.23905647162549526,Ovary/Fallopian Tube
ACH-000202,0.8871322313167641,-0.39694462133097086,Bowel
ACH-001736,0.8356215462590213,-0.5873796469768754,Lymphoid
ACH-001379,0.8600208158220337,-0.458245953959941,Pancreas
ACH-002070,0.8427956603154138,-0.3703613387700286,CNS/Brain
ACH-000128,0.8544314286270284,-0.4852764681586338,CNS/Brain
ACH-000696,0.8725451485512726,-0.5728432334099586,Ovary/Fallopian Tube
ACH-000041,0.8570883335352562,-0.3582665358650534,Bone
ACH-000747,0.873163157501574,-0.6354355792032081,Lung
ACH-001307,0.8618136381298654,-0.31902087905234583,Thyroid
ACH-000341,0.8530758264653466,-0.3650504407694358,Peripheral Nervous System
ACH-001740,0.8699852293036052,-0.38216896090038355,Soft Tissue
ACH-000417,0.8445263364718187,-0.36671856601246744,Pancreas
ACH-001393,0.8727441417836196,-0.578255781689105,Breast
ACH-000120,0.8591422952268618,-0.3694175963420632,Peripheral Nervous System
ACH-001694,0.8197884017704749,-0.4348098795852914,Head and Neck
ACH-001542,0.8734236691464446,-0.45767180141338587,Head and Neck
ACH-000438,0.8819728452705211,-0.3012713677935723,Lung
ACH-001366,0.8739519114335735,-0.4958967740301644,Peripheral Nervous System
ACH-000653,0.87890665459734,-0.5010683242776272,Lymphoid
ACH-000839,0.8530560526898925,-0.2742436231474281,Bladder/Urinary Tract
ACH-000673,0.8433898151873895,-0.2719926482499213,CNS/Brain
ACH-001524,0.822465394323608,-0.24493242347187902,Skin
ACH-000323,0.8440530213387285,-0.3964731358546677,CNS/Brain
ACH-000021,0.8652580414922859,-0.3465513009191015,Lung
ACH-001863,0.8473844316985548,-0.3867267885129132,Biliary Tract
ACH-000980,0.872117344488672,-0.6237199331687654,Lung
ACH-000106,0.8591441784435716,-0.41220109864006255,Lymphoid
ACH-000734,0.8762127130938177,-0.62165143123687,Liver
ACH-000845,0.8490573558758557,-0.38587547906414577,Lung
ACH-001982,0.8600440421614556,-0.6985025845803999,Skin
ACH-001334,0.8328387797006814,-0.6145773807721081,Cervix
ACH-000698,0.8604053059003062,-0.4817147585969579,Lung
ACH-000802,0.8636306283854743,-0.43826359242517604,Bladder/Urinary Tract
ACH-001836,0.8298965674609029,-0.4242463882859169,Biliary Tract
ACH-000573,0.8765422760180513,-0.44983526429771764,Breast
ACH-001699,0.8373836093605913,-0.6598380239604504,Head and Neck
ACH-000963,0.8756772518093003,-0.3797245650006811,Bowel
ACH-001567,0.8609235043649824,-0.46894212433626487,Skin
ACH-001653,0.855850118548492,-0.44484191462844125,Esophagus/Stomach
ACH-001862,0.832297668766035,-0.43888727497179686,Ampulla of Vater
ACH-000661,0.8545186843345873,-0.42627447319891165,Skin
ACH-001500,0.8644736817326099,-0.544285653928264,Esophagus/Stomach
ACH-001190,0.8538997337759313,-0.35025315391039663,Skin
ACH-002467,0.8463081733488426,-0.2673245544647043,Eye
ACH-000364,0.8385904374021903,-0.48047997411780796,Bone
ACH-000448,0.8582964170546616,-0.2993975856901304,Lung
ACH-000932,0.880764134012212,-0.4940255598373156,Esophagus/Stomach
ACH-000783,0.8703260915280984,-0.31104930924372703,Breast
ACH-002044,0.8783325873702698,-0.6743460245059633,Head and Neck
ACH-000976,0.8811753029938751,-0.28176894713024614,Biliary Tract
ACH-001354,0.8873792465752133,-0.35186562800879895,Peripheral Nervous System
ACH-001645,0.8621921646885569,-0.3571711771841778,Skin
ACH-000867,0.8646930764793136,-0.4098111780416439,Lung
ACH-000304,0.840633413662988,-0.43740916647301054,Skin
ACH-002069,0.8646663975759233,-0.3036971014143517,Bone
ACH-001374,0.8623261869444121,-0.28419597683841336,Ovary/Fallopian Tube
ACH-000302,0.8629548674560691,-0.4183073601545166,Uterus
ACH-000305,0.8342248271991736,-0.4179039068488087,Esophagus/Stomach
ACH-000766,0.8594740552372573,-0.3033540531251519,Lung
ACH-000533,0.8736179543370168,-0.5591071940114967,Kidney
ACH-000343,0.8538240912380833,-0.4753994436171062,Lung
ACH-000535,0.8512654274682222,-0.4154256436855423,Pancreas
ACH-000774,0.8470859418500342,-0.1635638583351979,Lung
ACH-000178,0.8656353125731707,-0.3937280244953815,Pancreas
ACH-001306,0.8516935454002745,-0.3096312470518304,Thyroid
ACH-000994,0.8651478733147564,-0.668073274583265,Uterus
ACH-001188,0.8653230124687777,-0.42831698838886545,Peripheral Nervous System
ACH-000804,0.8717454091884655,-0.5391556288635059,Peripheral Nervous System
ACH-000011,0.8795513424510315,-0.3424485555052457,Bladder/Urinary Tract
ACH-001603,0.8695144251261284,-0.4173244621726145,Peripheral Nervous System
ACH-000829,0.8944604552739172,-0.5083645767898243,Lymphoid
ACH-000141,0.8498178615572067,-0.3476291963799163,Biliary Tract
ACH-000810,0.8711807580449448,-0.3354250503945014,Skin
ACH-001145,0.8740686708695878,-0.4620420649042618,Ovary/Fallopian Tube
ACH-000717,0.8303727074190578,-0.2801490360880308,Esophagus/Stomach
ACH-000738,0.8620917264640282,-0.6021883090359592,CNS/Brain
ACH-001843,0.8685238531367172,-0.38767394167818475,Biliary Tract
ACH-002664,0.8411337215689204,-0.533898439162948,Bowel
ACH-001548,0.8709685822956286,-0.3387043815532368,Peripheral Nervous System
ACH-001555,0.8520243638023152,-0.25517525663084095,Pleura
ACH-000969,0.8823491747430509,-0.5080999111912023,Bowel
ACH-000873,0.8500171686590053,-0.487218749053256,Esophagus/Stomach
ACH-001275,0.8649407194766664,-0.5626403447071056,Soft Tissue
ACH-002654,0.8658135904217087,-0.315880924021007,Bowel
ACH-001972,0.8778966227019264,-0.5404902032673954,Skin
ACH-000921,0.860290429681002,-0.5463724582854096,Lung
ACH-002800,0.8347897922121458,-0.31173478065245736,Peripheral Nervous System
ACH-000082,0.8575064076448554,-0.26155051528563217,Bone
ACH-000488,0.8607176060046992,-0.7028314655864607,Esophagus/Stomach
ACH-000790,0.8887769072434164,-0.5600422951390827,Lung
ACH-000172,0.8584241619214837,-0.42607345919489237,Soft Tissue
ACH-000647,0.8499324239070594,-0.4026925221863835,Esophagus/Stomach
ACH-000602,0.878923917417181,-0.42629378826752223,Myeloid
ACH-003012,0.8563592147990702,-0.3903359657840648,Lung
ACH-002001,0.8741079045510444,-0.5664172424301664,Skin
ACH-000315,0.8686286855335686,-0.38784259686905714,Lymphoid
ACH-002446,0.8795949703048112,-0.45637122829550997,Esophagus/Stomach
ACH-000435,0.8748721766658147,-0.2955757082783903,Uterus
ACH-000965,0.8540673400631131,-0.6955559094627911,Uterus
ACH-001550,0.850712389494413,-0.3143042462973702,Skin
ACH-002026,0.8704871065567958,-0.5365039244762585,Uterus
ACH-000450,0.8788912749942092,-0.5299636466125306,Skin
ACH-002672,0.8412206634070281,-0.39080929320971447,Pancreas
ACH-000835,0.8705253986298971,-0.4175358293083822,Soft Tissue
ACH-001802,0.8565148940470894,-0.35428127871911863,Soft Tissue
ACH-000910,0.8766606048013238,-0.6082748886862089,Breast
ACH-001196,0.8686751382124129,-0.42661607396023166,Soft Tissue
ACH-001484,0.879162144330984,-0.48833894720586646,Lymphoid
ACH-000693,0.8831451476724383,-0.6428422406529343,Esophagus/Stomach
ACH-000811,0.8354150201598347,-0.2238789869442703,Ovary/Fallopian Tube
ACH-000290,0.8643396594767545,-0.49702467629697833,Lung
ACH-001497,0.8773630446341194,-0.35797756479668363,Esophagus/Stomach
ACH-000817,0.8890662948778388,-0.5045781102526098,Lymphoid
ACH-001556,0.8428047625295114,-0.39597534082398905,Pleura
ACH-000378,0.861990346631145,-0.3959937683072865,Lung
ACH-000913,0.8456926753541546,-0.42630420074958425,Uterus
ACH-000634,0.8593519600205648,-0.4061463862509118,CNS/Brain
ACH-002291,0.8418929717724647,-0.35005923466275707,Testis
ACH-001322,0.8591432368352167,-0.5212085425479225,Soft Tissue
ACH-000767,0.8597637567411311,-0.370673238207477,Lung
ACH-001642,0.8574348454098791,-0.41097675278221846,Lymphoid
ACH-001552,0.8493366996878257,-0.3020801399188903,Skin
ACH-000879,0.86975798782061,-0.572689512499051,Uterus
ACH-001842,0.8424968565974419,-0.2675584912342029,Biliary Tract
ACH-002662,0.8732818001542982,-0.5566705743337313,Bowel
ACH-000189,0.8294521283173646,-0.254971394219464,Kidney
ACH-000454,0.85795775191633,-0.4960886051214349,Lung
ACH-000660,0.8695156806039349,-0.5716275020134951,Lymphoid
ACH-001197,0.8662630514764734,-0.4388896751953202,Lymphoid
ACH-000915,0.8700997916534581,-0.6667644374880316,Skin
ACH-000480,0.8681205308913452,-0.5118370622660848,Liver
ACH-000161,0.8689212118625074,-0.4601788352225764,Lung
ACH-000395,0.8675505439671466,-0.4601087731261301,Lung
ACH-001459,0.8858842863769988,-0.39503573923920027,Bowel
ACH-000916,0.8375873106347133,-0.29892317189400275,Lung
ACH-001609,0.8581649057544196,-0.4387824474130047,CNS/Brain
ACH-001960,0.8463100565655527,-0.41262636862178576,Biliary Tract
ACH-001856,0.8793049549314854,-0.422890891135782,Biliary Tract
ACH-000295,0.8709221296167843,-0.41073417424952996,Myeloid
ACH-000292,0.864775624145098,-0.6823362452821421,Lung
ACH-000137,0.8569069169922019,-0.40113670664656303,CNS/Brain
ACH-000308,0.856012075185544,-0.32908721238621097,Ovary/Fallopian Tube
ACH-000445,0.8423060239708378,-0.31453241730478015,CNS/Brain
ACH-001229,0.8532286808883006,-0.5341963788159876,Head and Neck
ACH-000144,0.8379262896424964,-0.410559639163667,Esophagus/Stomach
ACH-000837,0.8620314635293116,-0.4626887839857943,Lung
ACH-000048,0.8718577744521566,-0.670443526241217,Ovary/Fallopian Tube
ACH-000463,0.8966459282657648,-0.3911978170576617,Lung
ACH-000881,0.8810434778241816,-0.47007004810253117,Skin
ACH-001992,0.8374096605250784,-0.4325462001180968,Pleura
ACH-000147,0.8574474001879451,-0.5302505100341255,Breast
ACH-000899,0.8688154378573011,-0.46779261739907696,Skin
ACH-000366,0.8772428326341367,-0.3915192510207956,Peripheral Nervous System
ACH-001526,0.863965840959838,-0.2722759564194905,Bone
ACH-001329,0.8424036373703012,-0.28684772221517013,CNS/Brain
ACH-001280,0.8684202762176724,-0.3567527601162896,Soft Tissue
ACH-002922,0.8572499763028564,-0.5086311698894806,Peripheral Nervous System
ACH-000861,0.8609379423597583,-0.4051542958643526,Lung
ACH-000133,0.8418468329630718,-0.3660020170261363,Fibroblast
ACH-001530,0.8639237824533167,-0.414151254697526,Uterus
ACH-000651,0.8850286782517975,-0.5118166125458372,Bowel
ACH-000563,0.8566282009191354,-0.5035237970428776,Lung
ACH-000316,0.8459911652026749,-0.32677622416998586,Liver
ACH-000884,0.8754396526344006,-0.5000565105895023,Skin
ACH-001451,0.8406996401172866,-0.38107094357937793,Cervix
ACH-000355,0.8969654473675455,-0.45546670843439996,Lung
ACH-002926,0.8757732958615059,-0.49903012397382485,Eye
ACH-000962,0.8725492288541442,-0.41387035337741657,Ovary/Fallopian Tube
ACH-000473,0.8541389022980894,-0.34484819909373104,Bladder/Urinary Tract
ACH-000192,0.856216090329117,-0.42488726609273664,Uterus
ACH-001624,0.8723232428489553,-0.40498430135536734,CNS/Brain
ACH-001344,0.8445778110618893,-0.35496877673555677,Peripheral Nervous System
ACH-000757,0.8760777492296073,-0.4533414462008057,Lung
ACH-000054,0.8748756292297832,-0.46157028139525097,Soft Tissue
ACH-001318,0.8585308775350452,-0.49629339734271427,Liver
ACH-000601,0.8956440569760936,-0.5721752670017796,Pancreas
ACH-001857,0.8729877044781009,-0.5279892585601639,Biliary Tract
ACH-000966,0.8700068862957693,-0.43928736277788827,Ovary/Fallopian Tube
ACH-000630,0.8249164008715528,-0.47320446681945827,Head and Neck
ACH-000657,0.8814464862001017,-0.6102557223475332,Ovary/Fallopian Tube
ACH-000624,0.8284417825524993,-0.4303845087498105,Breast
ACH-000699,0.8487569828106253,-0.3638188519560453,Breast
ACH-000740,0.8535811562825052,-0.45452490744178703,Head and Neck
ACH-000101,0.8490378959698536,-0.5951299580975774,Lymphoid
ACH-001416,0.8438107141220538,-0.35143994288374736,Bladder/Urinary Tract
ACH-000319,0.8546768745382195,-0.3311892916576871,Pleura
ACH-000198,0.8687438756223244,-0.6620758133025492,Myeloid
ACH-000280,0.8468508536307476,-0.40244247903934255,Ovary/Fallopian Tube
ACH-001835,0.8406710779971863,-0.4772067429640213,Biliary Tract
ACH-000493,0.8588981047934772,-0.3572175098830459,Liver
ACH-000042,0.844569964325598,-0.20173077847334198,Pancreas
ACH-002045,0.8717008397263312,-0.439828424603265,Head and Neck
ACH-000221,0.8815456689468236,-0.6780700727134128,Liver
ACH-000477,0.8573265604490593,-0.343698724796552,Skin
ACH-000746,0.865221946505346,-0.603836186305425,Esophagus/Stomach
ACH-000356,0.8754619373654678,-0.42685300287466943,Esophagus/Stomach
ACH-000244,0.8302333493825245,-0.297354424986749,CNS/Brain
ACH-000255,0.8606739781509197,-0.38335092888771766,Esophagus/Stomach
ACH-001038,0.8736794727495405,-0.5712554706963439,Bone
ACH-000352,0.8543181217549822,-0.4222937002744969,Breast
ACH-002016,0.8611149647304895,-0.339616609684122,Eye
ACH-000416,0.874049524833037,-0.360317266794524,Lung
ACH-000862,0.8456958140486711,-0.48975145753412014,Bladder/Urinary Tract
ACH-000401,0.8557123298592172,-0.38498042559766465,Skin
ACH-000593,0.8793743200803003,-0.39511135596128283,Bladder/Urinary Tract
ACH-000182,0.8247786121822779,-0.5750011100219962,Ampulla of Vater
ACH-000442,0.8407931732138788,-0.33054316693284674,Lung
ACH-000159,0.8356071082642453,-0.3179586362966243,Kidney
ACH-000907,0.8251838176443594,-0.27451306696037325,Kidney
ACH-000191,0.8616551340567816,-0.342523109833123,Thyroid
ACH-000103,0.8691029422750136,-0.43393927832763884,Ovary/Fallopian Tube
ACH-000739,0.86768990200368,-0.5050236478177577,Liver
ACH-001558,0.8460941143828162,-0.4407673523634455,Pleura
ACH-000206,0.8714698318099156,-0.3950940475522455,Lymphoid
ACH-000841,0.8680251145780432,-0.36676623202420267,Lung
ACH-001613,0.8614941190280841,-0.577726454006144,Myeloid
ACH-001608,0.8720291471727581,-0.43674817396815285,CNS/Brain
ACH-000801,0.8681155089801191,-0.38796424378565536,Skin
ACH-000464,0.847944060930849,-0.2916757927795159,CNS/Brain
ACH-000622,0.8538212664130183,-0.28778216805637125,CNS/Brain
ACH-000452,0.8346017844106064,-0.332301557561665,Esophagus/Stomach
ACH-001390,0.897900150594563,-0.32499043923037185,Breast
ACH-001401,0.8699017400294661,-0.5448556111173632,Adrenal Gland
ACH-000365,0.8734484648331248,-0.6074225094507811,Lymphoid
ACH-001431,0.8844677935416967,-0.4354973711918034,Bone
ACH-000475,0.8799000514118162,-0.5235915232763984,Liver
ACH-000860,0.8559753524597009,-0.4812345313558012,Lung
ACH-000074,0.8812500039233682,-0.5934872662000754,Myeloid
ACH-000377,0.8699139809380805,-0.4661340285491655,Ampulla of Vater
ACH-001562,0.8447149720122611,-0.5466279170456779,Pleura
ACH-000259,0.8754983462218594,-0.6544835988248094,Peripheral Nervous System
ACH-001388,0.8436572319601964,-0.23076423850326344,Breast
ACH-002025,0.8720690085931179,-0.5021888726932107,Bowel
ACH-000720,0.8333139780504815,-0.4068978628883288,Bladder/Urinary Tract
ACH-000095,0.8774327236523858,-0.39272251500660343,CNS/Brain
ACH-001345,0.9026885429489542,-0.533928160564279,Bowel
ACH-000558,0.8368293159089752,-0.40631756041272477,CNS/Brain
ACH-000664,0.8771875916106463,-0.6956378381685572,Lymphoid
ACH-000335,0.8737300057312563,-0.4435848402052957,Pleura
ACH-000631,0.8494748022465519,-0.33233101250412755,CNS/Brain
ACH-000207,0.8700075140346725,-0.4498973551684384,Head and Neck
ACH-000764,0.8519129401469787,-0.3184311581970971,Esophagus/Stomach
ACH-000995,0.8594627559369977,-0.526847520793059,Lymphoid
ACH-000953,0.8774926727176513,-0.4160770762945769,Lymphoid
ACH-000709,0.873264851203909,-0.24339903811735772,Kidney
ACH-000846,0.8567443326162463,-0.5593429422832957,Head and Neck
ACH-001702,0.8657307288864728,-0.3599756635566893,Soft Tissue
ACH-002059,0.870881012718618,-0.5189727913080912,Lymphoid
ACH-000929,0.8431537853597478,-0.3391926315740376,Lung
ACH-000948,0.8630914006675374,-0.5446704502916855,Esophagus/Stomach
ACH-002015,0.867719405732135,-0.38677203704804347,Eye
ACH-000311,0.8808934482262923,-0.373096595752654,Lung
ACH-001834,0.8341636226561013,-0.2659060270765706,Biliary Tract
ACH-000390,0.8527249204184004,-0.3421433843965886,Lung
ACH-000468,0.8354727721389388,-0.21000906302946945,Pancreas
ACH-001061,0.8753740539190055,-0.6604962064898386,Bowel
ACH-000077,0.8760124643836642,-0.4366358130507905,Lymphoid
ACH-000456,0.8422372865609261,-0.4222313575165178,Thyroid
ACH-000496,0.8750118485717995,-0.28948303501885125,Lung
ACH-002512,0.8764700860441713,-0.35973024761344247,Skin
ACH-002464,0.8381792684205271,-0.1772344081108773,Eye
ACH-002004,0.8721267605722217,-0.402194713995589,Skin
