,dir,dep,lineage
ACH-001611,0.8513922307266893,-0.4236137662358374,CNS/Brain
ACH-000406,0.8818698960903791,-0.6675703960085497,Myeloid
ACH-000441,0.872205855674038,-0.49393070521168064,Skin
ACH-000960,0.8815246396935629,-0.5414431711534481,Lymphoid
ACH-000098,0.852981979499303,-0.39882730285599577,CNS/Brain
ACH-001651,0.876154647245262,-0.3650603876077831,Cervix
ACH-001336,0.8462020854741846,-0.34389178541857485,Cervix
ACH-000971,0.8841567489151102,-0.34718787058008305,Bowel
ACH-001454,0.8493831523666697,-0.34886890519508545,Bowel
ACH-000926,0.878929880936762,-0.4153266187112171,Bowel
ACH-000576,0.8805582356519288,-0.2978607170726968,Lymphoid
ACH-000019,0.8645458717064893,-0.522213076857841,Breast
ACH-001577,0.8425831706966459,-0.507952351482885,Myeloid
ACH-000330,0.8636143071739885,-0.40234541537636087,Breast
ACH-000848,0.8724870827027174,-0.5960321079284996,Liver
ACH-000481,0.8844266766435304,-0.3254267752713129,Lung
ACH-001517,0.8823096271921426,-0.266861180912821,Uterus
ACH-000338,0.8396450387597386,-0.41430918649615966,Lymphoid
ACH-001959,0.8811991570722006,-0.5703994197965238,Biliary Tract
ACH-001414,0.8649984714557706,-0.3101025386987918,Bladder/Urinary Tract
ACH-000871,0.8526916502565254,-0.5650863732737558,Lung
ACH-001403,0.8418079131510673,-0.2522152161906652,Ovary/Fallopian Tube
ACH-000805,0.8828253147012056,-0.42394741298788186,Skin
ACH-001554,0.868301633564948,-0.5114358783738837,Eye
ACH-000847,0.887322122335013,-0.673287039562613,Esophagus/Stomach
ACH-000832,0.851296186674484,-0.5585497672575932,Head and Neck
ACH-001975,0.8748495780652962,-0.45180354670574097,Skin
ACH-001382,0.8589621341616139,-0.29567672813364454,Pancreas
ACH-001302,0.8651011067664601,-0.39521827677044025,Peripheral Nervous System
ACH-001134,0.8863403386902478,-0.45698024287990985,Lymphoid
ACH-000914,0.8758021718510579,-0.6936595228670072,Lymphoid
ACH-000858,0.8634758907458102,-0.5176639297563531,Lung
ACH-001421,0.8490561003980492,-0.3274911049243604,Eye
ACH-000544,0.8820431520276906,-0.4333277505929034,Esophagus/Stomach
ACH-000725,0.8504026003456328,-0.40307006488529096,Breast
ACH-000760,0.872436863590453,-0.42206294592875276,CNS/Brain
ACH-001745,0.8774465339082582,-0.4294491688925029,Soft Tissue
ACH-000787,0.8470922192390674,-0.4895423160786096,Lung
ACH-000749,0.8949092885897781,-0.5782423227427547,Lung
ACH-001691,0.8383271009322549,-0.33808230486624813,Head and Neck
ACH-001328,0.8588299951224685,-0.4664306980197523,Skin
ACH-001654,0.8472099202834367,-0.39188690102017587,Esophagus/Stomach
ACH-001521,0.8688681679251785,-0.28192409628025705,Skin
ACH-000209,0.839809192482952,-0.3940411230629821,Biliary Tract
ACH-001520,0.8822239408318419,-0.566208463354856,Lymphoid
ACH-000213,0.8468951092234304,-0.46164288764441563,Pancreas
ACH-001610,0.854336326183178,-0.326213497039886,CNS/Brain
ACH-001408,0.8294289019779424,-0.3202894511008839,Bladder/Urinary Tract
ACH-000991,0.8505027247007098,-0.3545730345536858,Bowel
ACH-001412,0.8251474087879681,-0.2834618411103568,Bladder/Urinary Tract
ACH-000331,0.8603654444799465,-0.3903081366984142,Pleura
ACH-001407,0.8608403289602948,-0.3517137882993162,Bladder/Urinary Tract
ACH-000580,0.861756200020213,-0.3344895372082219,Skin
ACH-000684,0.8729760913083898,-0.2874775764353469,Kidney
ACH-000732,0.8386632551149735,-0.32947721469599006,Head and Neck
ACH-001481,0.8699268495855982,-0.33698449519022744,Peripheral Nervous System
ACH-000310,0.8687394814500016,-0.34984283217528717,Peripheral Nervous System
ACH-000234,0.840129653193088,-0.2688216145312108,Kidney
ACH-001498,0.8724798637053295,-0.5595617983287473,Lymphoid
ACH-000896,0.8572449543916298,-0.4096085210502507,Bladder/Urinary Tract
ACH-000203,0.8204114326320027,-0.34548834025995634,Peripheral Nervous System
ACH-001607,0.8562339808878613,-0.49932641500967145,Biliary Tract
ACH-002706,0.8529634612016553,-0.5683392738282717,Esophagus/Stomach
ACH-000677,0.8637348330434226,-0.5673477632531625,Lung
ACH-000055,0.8746782053446945,-0.4179107550523269,CNS/Brain
ACH-000485,0.8607810076339328,-0.45907213617442705,Esophagus/Stomach
ACH-000672,0.8488056325756317,-0.363652725544347,Lung
ACH-000784,0.8763332389632514,-0.4755140474431723,Esophagus/Stomach
ACH-002024,0.8574668600939472,-0.47902789141417534,Bowel
ACH-001737,0.8713395759874806,-0.4273858632207353,Lymphoid
ACH-001400,0.8403798071460539,-0.4787698970691999,Vulva/Vagina
ACH-001054,0.8837804194425805,-0.46890497863695446,CNS/Brain
ACH-001695,0.8578573136918015,-0.39878744936776395,Head and Neck
ACH-000009,0.8708499396429044,-0.3949510894064547,Bowel
ACH-000491,0.8520786632174507,-0.48137390983349165,Bowel
ACH-001568,0.8821263274323784,-0.42417098901172934,Skin
ACH-000993,0.8438185608583451,-0.3428860089516264,Uterus
ACH-002680,0.8428455655582262,-0.3323344764416427,CNS/Brain
ACH-000711,0.8594385879892207,-0.4253265307500096,Breast
ACH-001515,0.8538987921675761,-0.4012336132273805,Cervix
ACH-002847,0.8459409460904108,-0.3612444761067633,Skin
ACH-000702,0.8635810370121138,-0.3680679320702959,Lymphoid
ACH-001020,0.8912797022508835,-0.3730999867777236,CNS/Brain
ACH-000354,0.8543626912171166,-0.4107758685648781,Pancreas
ACH-000012,0.8751863599869179,-0.504329669775496,Lung
ACH-002533,0.8468737661007181,-0.3897958996895827,Kidney
ACH-000459,0.8269769538216429,-0.165483721569522,Kidney
ACH-001413,0.8524041458388129,-0.3614003580060994,Bladder/Urinary Tract
ACH-000208,0.8455520618398149,-0.3338674443976643,CNS/Brain
ACH-000249,0.8502164757608037,-0.4948868527598589,Bowel
ACH-001368,0.8906221457496739,-0.46518930029016986,Esophagus/Stomach
ACH-000231,0.8316394845259222,-0.24248693087978843,CNS/Brain
ACH-000945,0.8485294274581783,-0.33605075669859924,Lung
ACH-000662,0.8842025738550512,-0.44519115010288113,Lung
ACH-002458,0.8480809080117688,-0.4476271129582204,Skin
ACH-001029,0.8650866687716846,-0.6077243375837996,Bone
ACH-000248,0.8735580052717514,-0.4493273499677174,Breast
ACH-000943,0.8859583595675884,-0.7246414806881957,Bowel
ACH-001696,0.8574313928459107,-0.3501097994470022,Head and Neck
ACH-001016,0.8556928699532146,-0.4697803849060757,CNS/Brain
ACH-000261,0.8687024448547066,-0.35128431485465333,Lung
ACH-000164,0.8717030368124925,-0.48466269758102837,Pancreas
ACH-001793,0.8338051837423156,-0.26265762504930745,Soft Tissue
ACH-000262,0.8643578639049503,-0.3544620605573379,Kidney
ACH-000773,0.8715806277263485,-0.42279175018787307,Lymphoid
ACH-000722,0.8728593318723759,-0.30727744473961205,Bowel
ACH-001129,0.8602078820152178,-0.38116484768195147,Myeloid
ACH-001619,0.874434956519665,-0.28611112604753125,Biliary Tract
ACH-000329,0.8484999237297233,-0.5146271662801485,CNS/Brain
ACH-001701,0.8421064029995876,-0.48193876578312844,Head and Neck
ACH-000545,0.8238690185113925,-0.41307390600747745,Bladder/Urinary Tract
ACH-000124,0.8555591615668113,-0.5100856371002913,Lymphoid
ACH-001626,0.8495479338287867,-0.25127370365868024,Head and Neck
ACH-000619,0.8265193321611356,-0.46570984939799803,Head and Neck
ACH-001973,0.855965308637248,-0.4130797138418476,Skin
ACH-001340,0.87063242811291,-0.35075680761163935,Ovary/Fallopian Tube
